instnm,State abbreviation (HD2014),Geographic region (HD2014),Level of institution (HD2014),Degree-granting status (HD2014),Total price for out-of-state students living on campus 2014-15 (DRVIC2014),Total price for in-state students living on campus 2014-15 (DRVIC2014),Total  enrollment (DRVEF2014),Number of students receiving a Doctor's degree (DRVC2014),Number of students receiving a Master's degree (DRVC2014),Number of students receiving a Bachelor's degree (DRVC2014),Percent admitted - total (DRVIC2013_RV),Admissions yield - total (DRVIC2013_RV),Percent admitted - men (DRVIC2013_RV),Percent admitted - women (DRVIC2013_RV)
Le Cordon Bleu College of Culinary Arts-Miami,FL,5,2,1,,,789,,,,,,,
Le Cordon Bleu College of Culinary Arts-Minneapolis,MN,4,2,1,,,491,,,,,,,
Le Cordon Bleu College of Culinary Arts-Orlando,FL,5,2,1,,,972,,,,,,,
Le Cordon Bleu College of Culinary Arts-Pasadena,CA,8,2,1,,,1792,,,,,,,
Le Cordon Bleu College of Culinary Arts-Portland,OR,8,2,1,,,452,,,,,,,
Le Cordon Bleu College of Culinary Arts-Sacramento,CA,8,2,1,,,318,,,,,,,
Le Cordon Bleu College of Culinary Arts-San Francisco,CA,8,2,1,,,442,,,,,,,
Le Cordon Bleu College of Culinary Arts-Scottsdale,AZ,6,1,1,,,1567,0,0,89,,,,
Le Cordon Bleu College of Culinary Arts-Seattle,WA,8,2,1,,,355,,,,,,,
Le Cordon Bleu College of Culinary Arts-St Louis,MO,4,2,1,,,243,,,,,,,
Le Moyne College,NY,2,1,1,46200,46200,3381,0,201,592,62,17,64,61
Le Moyne-Owen College,TN,5,1,1,18540,18540,1006,0,0,127,23,66,21,25
Learnet Academy Inc,CA,8,2,1,,,157,,,,,,,
Lebanon College,NH,1,2,1,,,,,,,,,,
Lebanon County Area Vocational Technical School,PA,2,3,2,,,209,,,,,,,
Lebanon Valley College,PA,2,1,1,50970,50970,1901,28,91,421,67,16,63,70
Lee College,TX,6,2,1,,,6481,,,,,,,
Lee Professional Institute,FL,5,3,2,,,36,,,,,,,
Lee University,TN,5,1,1,27500,27500,4965,0,193,738,92,52,91,92
Leech Lake Tribal College,MN,4,2,1,,,297,,,,,,,
Lees School of Cosmetology,AR,5,3,2,,,28,,,,,,,
Lees-McRae College,NC,5,1,1,39960,39960,940,0,0,220,66,19,67,66
Leeward Community College,HI,8,2,1,,,7742,,,,,,,
LeGrand Institute of Cosmetology Inc,SC,5,3,2,,,30,,,,,,,
Lehigh Carbon Community College,PA,2,2,1,,,6779,,,,,,,
Lehigh University,PA,2,1,1,58835,58835,7119,94,637,1112,31,31,30,32
LeMelange Academy of Hair,CA,8,3,2,,,56,,,,,,,
Lenape Technical School Practical Nursing Program,PA,2,3,2,,,157,,,,,,,
Lenoir Community College,NC,5,2,1,,,2959,,,,,,,
Lenoir-Rhyne University,NC,5,1,1,45672,45672,2050,0,89,321,68,10,67,69
Lenoir-Rhyne University-Lutheran Theological Southern Seminary,SC,5,1,1,,,92,0,28,0,,,,
Leon Studio One School of Hair Design,NY,2,3,2,,,27,,,,,,,
Leon Studio One School of Hair Design & Career Training Center,NY,2,3,2,,,18,,,,,,,
Leons Beauty School Inc,NC,5,3,2,,,124,,,,,,,
Lesley University,MA,1,1,1,42065,42065,4859,26,1429,475,67,18,57,71
Lester E Cox Medical Center-School of Medical Technology,MO,4,1,2,,,9,0,0,0,,,,
LeTourneau University,TX,6,1,1,40288,40288,2667,0,139,566,41,46,48,32
Levittown Beauty Academy,PA,2,3,2,,,82,,,,,,,
Lewis & Clark College,OR,8,1,1,57690,57690,3504,238,218,459,63,12,59,65
Lewis and Clark Community College,IL,3,2,1,,,7903,,,,,,,
Lewis University,IL,3,1,1,40685,40685,6689,5,566,1051,56,23,54,57
Lewis-Clark State College,ID,7,1,1,30568,20050,4304,0,0,493,100,55,99,100
Lex La-Ray Technical Center,MO,4,3,2,,,35,,,,,,,
Lexington College,IL,3,1,1,,,,,,,89,33,,89
Lexington Healing Arts Academy,KY,5,3,2,,,187,,,,,,,
Lexington Theological Seminary,KY,5,1,1,,,87,1,6,0,,,,
Lia Schorr Institute of Cosmetic Skin Care Training,NY,2,3,2,,,35,,,,,,,
Liberty University,VA,5,1,1,34000,34000,81459,332,7405,7074,22,45,22,21
Life Chiropractic College West,CA,8,1,1,,,499,101,0,0,,,,
Life Pacific College,CA,8,1,1,24901,24901,584,0,13,102,75,78,74,76
Life University,GA,5,1,1,30630,30630,2754,330,22,115,75,35,83,68
Lil Lou's Barber College,IN,3,3,2,,,77,,,,,,,
LIM College,NY,2,1,1,47675,47675,1737,0,43,317,75,28,66,76
Limestone College,SC,5,1,1,37336,37336,3214,0,8,580,53,35,56,50
Lincoln Christian University,IL,3,1,1,28585,28585,940,3,101,135,69,55,61,75
Lincoln College,IL,3,1,1,30014,30014,1264,0,0,103,87,39,88,87
Lincoln College of New England-Southington,CT,1,1,1,34520,34520,715,0,0,8,,,,
Lincoln College of Technology-Cleveland,OH,3,2,1,,,,,,,,,,
Lincoln College of Technology-Columbia,MD,2,2,1,,,647,,,,,,,
Lincoln College of Technology-Dayton,OH,3,2,1,,,,,,,,,,
Lincoln College of Technology-Denver,CO,7,2,1,,,1263,,,,,,,
Lincoln College of Technology-Florence,KY,5,2,1,,,,,,,,,,
Lincoln College of Technology-Grand Prairie,TX,6,2,1,,,947,,,,,,,
Lincoln College of Technology-Indianapolis,IN,3,2,1,,,1199,,,,,,,
Lincoln College of Technology-Marietta,GA,5,2,1,,,247,,,,,,,
Lincoln College of Technology-Melrose Park,IL,3,2,1,,,717,,,,,,,
Lincoln College of Technology-Nashville,TN,5,2,1,,,1782,,,,,,,
Lincoln College of Technology-Toledo,OH,3,2,1,,,,,,,,,,
Lincoln College of Technology-Tri-County,OH,3,2,1,,,,,,,,,,
Lincoln College of Technology-West Palm Beach,FL,5,1,1,,,713,0,0,21,,,,
Lincoln Land Community College,IL,3,2,1,,,7006,,,,,,,
Lincoln Memorial University,TN,5,1,1,36540,36540,3735,201,366,306,70,28,70,70
Lincoln Technical Institute-Allentown,PA,2,2,1,,,540,,,,,,,
Lincoln Technical Institute-Brockton,MA,1,3,2,,,356,,,,,,,
Lincoln Technical Institute-Center City Philadelphia,PA,2,2,1,,,533,,,,,,,
Lincoln Technical Institute-East Windsor,CT,1,3,2,,,1025,,,,,,,
Lincoln Technical Institute-Edison,NJ,2,3,2,,,537,,,,,,,
Lincoln Technical Institute-Fern Park,FL,5,2,1,,,242,,,,,,,
Lincoln Technical Institute-Hamden,CT,1,3,2,,,,,,,,,,
Lincoln Technical Institute-Hartford,CT,1,2,2,,,450,,,,,,,
Lincoln Technical Institute-Lincoln,RI,1,2,2,,,717,,,,,,,
Lincoln Technical Institute-Lowell,MA,1,3,2,,,358,,,,,,,
Lincoln Technical Institute-Mahwah,NJ,2,3,2,,,780,,,,,,,
Lincoln Technical Institute-Moorestown,NJ,2,3,2,,,559,,,,,,,
Lincoln Technical Institute-New Britain,CT,1,3,2,,,459,,,,,,,
Lincoln Technical Institute-Northeast Philadelphia,PA,2,2,1,,,310,,,,,,,
Lincoln Technical Institute-Paramus,NJ,2,3,2,,,649,,,,,,,
Lincoln Technical Institute-Philadelphia,PA,2,2,1,,,360,,,,,,,
Lincoln Technical Institute-Shelton,CT,1,3,2,,,631,,,,,,,
Lincoln Technical Institute-Somerville,MA,1,3,2,,,390,,,,,,,
Lincoln Technical Institute-South Plainfield,NJ,2,2,2,,,321,,,,,,,
Lincoln Technical Institute-Union,NJ,2,3,2,,,1211,,,,,,,
Lincoln Technical Institute-Whitestone,NY,2,3,2,,,733,,,,,,,
Lincoln Trail College,IL,3,2,1,,,1031,,,,,,,
Lincoln University,CA,8,1,1,,,603,0,70,20,,,,
Lincoln University,MO,4,1,1,23346,16956,3117,0,52,317,,,,
Lincoln University of Pennsylvania,PA,2,1,1,27884,22498,1819,0,160,279,61,23,60,62
Lindenwood University,MO,4,1,1,31460,31460,12151,46,1411,1508,66,61,67,66
Lindsey Hopkins Technical Education Center,FL,5,2,2,,,716,,,,,,,
Lindsey Institute of Cosmetology,KY,5,2,2,,,102,,,,,,,
Lindsey Wilson College,KY,5,1,1,37463,37463,2641,0,211,436,,,,
Linfield College-Adult Degree Program,OR,8,1,1,,,436,0,0,203,,,,
Linfield College-McMinnville Campus,OR,8,1,1,49796,49796,1683,0,0,320,92,23,88,95
Linfield College-School of Nursing,OR,8,1,1,,,347,0,0,192,,,,
Linn State Technical College,MO,4,2,1,21253,16513,1259,,,,,,,
Linn-Benton Community College,OR,8,2,1,,,5314,,,,,,,
Lipscomb University,TN,5,1,1,42240,42240,4489,115,492,607,53,37,50,54
Little Big Horn College,MT,7,2,1,,,263,,,,,,,
Little Priest Tribal College,NE,4,2,1,,,127,,,,,,,
LIU Brentwood,NY,2,1,1,,,216,0,105,10,,,,
LIU Brooklyn,NY,2,1,1,51682,51682,8354,242,921,682,87,18,85,88
LIU Hudson at Rockland,NY,2,1,1,,,239,0,88,0,,,,
LIU Hudson at Westchester,NY,2,1,1,,,158,0,95,0,,,,
LIU Post,NY,2,1,1,52160,52160,9486,31,864,871,81,14,80,81
LIU Riverhead,NY,2,1,1,,,168,0,50,23,,,,
LIU-University Center Campus,NY,2,1,1,,,,,,,,,,
Lively Technical Center,FL,5,3,2,,,907,,,,,,,
Living Arts College,NC,5,1,1,30774,30774,413,0,0,62,,,,
Livingstone College,NC,5,1,1,26721,26721,1301,0,0,154,71,17,71,71
Lock Haven University,PA,2,1,1,31089,22639,4917,0,155,879,88,32,87,88
Logan University,MO,4,1,1,,,899,217,84,175,,,,
Loma Linda University,CA,8,1,1,,,4600,565,521,359,,,,
Lone Star College System,TX,6,2,1,,,69395,,,,,,,
Long Beach City College,CA,8,2,1,,,24403,,,,,,,
Long Island Barber Institute,NY,2,3,2,,,61,,,,,,,
Long Island Beauty School-Hauppauge,NY,2,3,2,,,249,,,,,,,
Long Island Beauty School-Hempstead,NY,2,3,2,,,127,,,,,,,
Long Island Business Institute,NY,2,2,1,,,397,,,,,,,
Long Island Nail & Skin Care Institute,NY,2,3,2,,,145,,,,,,,
Longs Peak Academy,CO,7,2,2,,,52,,,,,,,
Longwood University,VA,5,1,1,38324,24554,5096,0,146,912,81,34,79,83
Longy School of Music of Bard College,MA,1,1,1,,,248,0,83,0,86,39,82,89
Lorain County Community College,OH,3,2,1,,,11569,,,,,,,
Lorain County Joint Vocational School District,OH,3,2,2,,,107,,,,,,,
Loraines Academy Inc,FL,5,3,2,,,186,,,,,,,
Loras College,IA,4,1,1,40153,40153,1569,0,9,370,69,32,66,72
Lord Fairfax Community College,VA,5,2,1,,,6996,,,,,,,
Lorenzo Walker Institute of Technology,FL,5,2,2,,,679,,,,,,,
Los Angeles City College,CA,8,2,1,,,18756,,,,,,,
Los Angeles Community College District Office,CA,8,2,1,,,,,,,,,,
Los Angeles County College of Nursing and Allied Health,CA,8,2,1,,,204,,,,,,,
Los Angeles Film School,CA,8,1,1,,,2284,0,0,81,,,,
Los Angeles Harbor College,CA,8,2,1,,,10145,,,,,,,
Los Angeles Mission College,CA,8,2,1,,,10191,,,,,,,
Los Angeles Music Academy,CA,8,1,1,,,147,0,0,0,,,,
Los Angeles ORT College-Los Angeles Campus,CA,8,2,1,,,306,,,,,,,
Los Angeles ORT College-Van Nuys Campus,CA,8,2,1,,,317,,,,,,,
Los Angeles Pierce College,CA,8,2,1,,,21034,,,,,,,
Los Angeles Southwest College,CA,8,2,1,,,6937,,,,,,,
Los Angeles Trade Technical College,CA,8,2,1,,,14688,,,,,,,
Los Angeles Valley College,CA,8,2,1,,,18641,,,,,,,
Los Medanos College,CA,8,2,1,,,8695,,,,,,,
Los Rios Community College District Office,CA,8,2,1,,,,,,,,,,
Louisburg College,NC,5,2,1,29904,29904,701,,,,42,45,42,41
Louisiana Academy of Beauty,LA,5,3,2,,,38,,,,,,,
Louisiana College,LA,5,1,1,24524,24524,1256,0,107,173,74,40,77,72
Louisiana Culinary Institute,LA,5,2,1,,,208,,,,75,87,69,80
Louisiana Delta Community College,LA,5,2,1,,,3081,,,,,,,
Louisiana State University and Agricultural & Mechanical College,LA,5,1,1,41867,24150,31044,648,1112,4593,76,46,76,76
Louisiana State University Health Sciences Center-New Orleans,LA,5,1,1,,,2828,315,197,349,,,,
Louisiana State University Health Sciences Center-Shreveport,LA,5,1,1,,,870,149,77,32,,,,
Louisiana State University-Alexandria,LA,5,1,1,24846,17987,2702,0,0,190,61,60,68,58
Louisiana State University-Eunice,LA,5,2,1,,,2738,,,,,,,
Louisiana State University-Shreveport,LA,5,1,1,,,4186,0,127,446,83,77,85,83
Louisiana State University-System Office,LA,5,1,1,,,,,,,,,,
Louisiana Tech University,LA,5,1,1,33273,18690,11225,43,454,1306,67,45,67,67
Louisville Presbyterian Theological Seminary,KY,5,1,1,,,169,5,49,0,,,,
Lourdes University,OH,3,1,1,32431,32431,1780,0,103,315,69,25,68,70
Love Beauty School Inc,TN,5,3,2,,,25,,,,,,,
Lowell Academy Hairstyling Institute,MA,1,3,2,,,95,,,,,,,
Lower Columbia College,WA,8,2,1,,,3208,,,,,,,
Loyola Marymount University,CA,8,1,1,58851,58851,9515,424,797,1556,54,22,53,55
Loyola University Chicago,IL,3,1,1,53322,53322,15902,523,1503,2276,85,19,87,84
Loyola University Maryland,MD,2,1,1,59925,59925,5967,22,712,908,58,14,59,57
Loyola University New Orleans,LA,5,1,1,52350,52350,4330,250,285,519,87,15,87,87
Lu Ross Academy,CA,8,3,2,,,274,,,,,,,
Lubbock Christian University,TX,6,1,1,32040,32040,1902,0,189,367,95,34,97,94
Lubbock Hair Academy,TX,6,3,2,,,50,,,,,,,
Lucas Marc Academy,WA,8,2,2,,,123,,,,,,,
Luckes Beauty Academy,VA,5,3,2,,,35,,,,,,,
Luna Community College,NM,6,2,1,,,1440,,,,,,,
Lurleen B Wallace Community College,AL,5,2,1,,,1599,,,,,,,
Luther College,IA,4,1,1,49775,49775,2385,0,0,530,72,25,67,77
Luther Rice University & Seminary,GA,5,1,1,,,1218,11,199,78,,,,
Luther Seminary,MN,4,1,1,,,622,23,138,0,,,,
Lutheran School of Nursing,MO,4,2,2,23432,23432,219,,,,100,100,,100
Lutheran School of Theology at Chicago,IL,3,1,1,,,228,18,36,0,,,,
Lutheran Theological Seminary at Gettysburg,PA,2,1,1,,,178,0,24,0,,,,
Lutheran Theological Seminary at Philadelphia,PA,2,1,1,,,200,7,37,0,,,,
Luzerne County Community College,PA,2,2,1,,,6049,,,,,,,
Lycoming College,PA,2,1,1,48154,48154,1353,0,0,268,72,28,68,76
Lyles Bakersfield College of Beauty,CA,8,3,2,,,59,,,,,,,
Lyles Fresno College of Beauty,CA,8,3,2,,,51,,,,,,,
Lyme Academy College of Fine Arts,CT,1,1,1,43919,43919,,0,0,21,85,31,67,100
Lynchburg College,VA,5,1,1,45925,45925,2736,55,103,451,64,14,63,64
Lynchburg General Hospital School of Nursing,VA,5,2,1,,,151,,,,,,,
Lyndon State College,VT,1,1,1,33776,22712,1430,0,7,185,99,27,99,99
Lynn University,FL,5,1,1,51627,51627,2613,8,232,376,78,22,76,79
Lynnes Welding Training,ND,4,3,2,,,25,,,,,,,
Lyon College,AR,5,1,1,35090,35090,712,0,0,106,59,23,65,56
Lytles Redwood Empire Beauty College Inc,CA,8,3,2,,,132,,,,,,,
M J Murphy Beauty College of Mount Pleasant,MI,3,3,2,,,88,,,,,,,
M T Training Center,TX,6,3,2,,,110,,,,,,,
M-DCPS The English Center,FL,5,3,2,,,164,,,,,,,
Mac Daniels Beauty School,IL,3,3,2,,,64,,,,,,,
Macalester College,MN,4,1,1,59743,59743,2073,0,0,463,34,24,33,35
MacCormac College,IL,3,2,1,,,216,,,,,,,
Machzikei Hadath Rabbinical College,NY,2,1,1,14400,14400,147,0,0,16,100,100,100,
MacMurray College,IL,3,1,1,34000,34000,554,0,0,111,75,16,72,80
Macomb Community College,MI,3,2,1,,,22914,,,,,,,
Madera Beauty College,CA,8,3,2,,,37,,,,,,,
Madison Adult Career Center,OH,3,2,2,,,150,,,,,,,
Madison Area Technical College,WI,3,1,1,,,16759,0,0,0,,,,
Madison Media Institute,WI,3,1,1,,,372,0,0,28,,,,
Madison Media Institute - Rockford Career College,IL,3,2,1,,,434,,,,,,,
Madison Oneida BOCES-Practical Nursing Program,NY,2,3,2,,,51,,,,,,,
Madisonville Community College,KY,5,2,1,,,4433,,,,,,,
Madonna University,MI,3,1,1,29528,29528,3947,10,336,703,61,29,66,59
Magnolia College of Cosmetology,MS,5,3,2,,,157,,,,,,,
Magnolia School,PA,2,3,2,,,115,,,,,,,
Maharishi University of Management,IA,4,1,1,38630,38630,1454,4,231,64,42,61,46,38
Mahoning County Career and Technical Center,OH,3,3,2,,,116,,,,,,,
Mai-trix Beauty College,TX,6,3,2,,,47,,,,,,,
Maine College of Art,ME,1,1,1,45680,45680,459,0,18,81,96,34,100,95
Maine Maritime Academy,ME,1,1,1,37488,25848,1060,0,13,169,65,44,64,71
Make-up Designory,CA,8,3,2,,,216,,,,,,,
Malone University,OH,3,1,1,38864,38864,1962,0,148,427,72,33,70,73
Management Resources Institute,FL,5,2,1,,,708,,,,,,,
Manatee Technical Institute,FL,5,2,2,,,928,,,,,,,
Manchester Beauty College,CA,8,3,2,,,64,,,,,,,
Manchester Community College,NH,1,2,1,,,3455,,,,,,,
Manchester Community College,CT,1,2,1,,,7300,,,,,,,
Manchester University,IN,3,1,1,40917,40917,1488,0,17,264,71,23,68,75
Mandalyn Academy,UT,7,3,2,,,63,,,,,,,
Mandl School-The College of Allied Health,NY,2,2,1,,,707,,,,,,,
Manhattan Area Technical College,KS,4,2,1,,,766,,,,,,,
Manhattan Christian College,KS,4,1,1,26502,26502,311,0,0,53,60,76,60,60
Manhattan College,NY,2,1,1,54128,54128,3970,0,184,678,66,16,69,64
Manhattan Hairstyling Academy,FL,5,3,2,,,160,,,,,,,
Manhattan Institute,NY,2,3,2,,,1221,,,,,,,
Manhattan School of Computer Technology,NY,2,3,2,,,519,,,,,,,
Manhattan School of Music,NY,2,1,1,57350,57350,957,11,191,97,34,25,27,41
Manhattanville College,NY,2,1,1,53090,53090,2865,5,355,292,77,16,74,78
Manor College,PA,2,2,1,29299,29299,780,,,,45,40,53,42
Mansfield Beauty Schools-Quincy,MA,1,3,2,,,65,,,,,,,
Mansfield Beauty Schools-Springfield,MA,1,3,2,,,31,,,,,,,
Mansfield University of Pennsylvania,PA,2,1,1,34856,24406,2752,0,81,524,92,34,91,93
Manthano Christian College,MI,3,1,1,,,32,0,0,0,,,,
Manuel and Theresa's School of Hair Design-Bryan,TX,6,3,2,,,25,,,,,,,
Manuel and Theresa's School of Hair Design-Victoria,TX,6,3,2,,,30,,,,,,,
Maple Springs Baptist Bible College and Seminary,MD,2,1,1,,,99,0,5,8,,,,
Maranatha Baptist University,WI,3,1,1,25310,25310,1064,0,15,152,71,70,71,72
Marchman Technical Education Center,FL,5,2,2,,,173,,,,,,,
Margaret's Hair Academy Inc,AR,5,3,2,,,45,,,,,,,
Maria College of Albany,NY,2,1,1,,,859,0,0,23,16,71,33,14
Marian Court College,MA,1,1,1,,,277,0,0,1,,,,
Marian Health Careers Center-Los Angeles Campus,CA,8,3,2,,,117,,,,,,,
Marian Health Careers Center-Van Nuys Campus,CA,8,3,2,,,63,,,,,,,
Marian University,IN,3,1,1,42939,42939,2771,0,135,547,58,28,56,59
Marian University,WI,3,1,1,36640,36640,2130,2,133,378,76,33,71,78
Maricopa Community College System Office,AZ,6,2,1,,,,,,,,,,
Maricopa Skill Center,AZ,6,3,2,,,833,,,,,,,
Marietta College,OH,3,1,1,46151,46151,1500,0,37,317,64,14,60,71
Marinello Schools of Beauty-Burbank,CA,8,3,2,,,426,,,,,,,
Marinello Schools of Beauty-East Hartford,CT,1,3,2,,,203,,,,,,,
Marinello Schools of Beauty-Hemet,CA,8,3,2,,,1142,,,,,,,
Marinello Schools of Beauty-Lake Forest,CA,8,3,2,,,496,,,,,,,
Marinello Schools of Beauty-Las Vegas,NV,8,2,2,,,367,,,,,,,
Marinello Schools of Beauty-Los Angeles,CA,8,3,2,,,2317,,,,,,,
Marinello Schools of Beauty-Manhattan,KS,4,3,2,,,120,,,,,,,
Marinello Schools of Beauty-Meriden,CT,1,3,2,,,390,,,,,,,
Marinello Schools of Beauty-Moreno Valley,CA,8,3,2,,,258,,,,,,,
Marinello Schools of Beauty-Niantic,CT,1,3,2,,,260,,,,,,,
Marinello Schools of Beauty-Provo,UT,7,3,2,,,49,,,,,,,
Marinello Schools of Beauty-Reno,NV,8,2,2,,,217,,,,,,,
Marinello Schools of Beauty-Sacramento,CA,8,3,2,,,462,,,,,,,
Marinello Schools of Beauty-San Francisco,CA,8,3,2,,,535,,,,,,,
Marinello Schools of Beauty-Santa Clara,CA,8,3,2,,,547,,,,,,,
Marinello Schools of Beauty-Topeka,KS,4,3,2,,,333,,,,,,,
Marion Community Schools-Tucker Career & Technology Center,IN,3,3,2,,,,,,,,,,
Marion County Community Technical and Adult Education Center,FL,5,2,2,,,381,,,,,,,
Marion Military Institute,AL,5,2,1,22328,16328,439,,,,60,59,65,43
Marion S Whelan School of Nursing of Geneva General Hospital,NY,2,3,2,,,29,,,,,,,
Marion Technical College,OH,3,2,1,,,2468,,,,,,,
Marist College,NY,2,1,1,49790,49790,6356,0,289,1245,37,30,43,34
MarJon School of Beauty ltd-Lockport,NY,2,3,2,,,25,,,,,,,
MarJon School of Beauty ltd-Tonawanda,NY,2,3,2,,,64,,,,,,,
Marketti Academy of Cosmetology,MI,3,3,2,,,78,,,,,,,
Marlboro College,VT,1,1,1,51590,51590,230,0,0,62,76,27,72,78
Marlboro College-Graduate School,VT,1,1,1,,,82,0,43,6,,,,
Marquette University,WI,3,1,1,50237,50237,11745,415,629,1827,57,15,56,59
Mars Hill University,NC,5,1,1,39654,39654,1435,0,6,214,64,22,64,65
Marsha Kay Beauty College,AR,5,3,2,,,,,,,,,,
Marshall B Ketchum University,CA,8,1,1,,,427,99,1,0,,,,
Marshall University,WV,5,1,1,28020,19520,13381,134,770,1603,79,82,75,81
Marshalltown Community College,IA,4,2,1,16624,16384,2041,,,,,,,
Martin Community College,NC,5,2,1,,,477,,,,,,,
Martin Luther College,MN,4,1,1,23120,23120,857,0,16,137,96,82,96,96
Martin Methodist College,TN,5,1,1,34500,34500,1087,0,0,161,,,,
Martin University,IN,3,1,1,,,402,0,15,48,,,,
Mary Baldwin College,VA,5,1,1,41545,41545,1754,0,113,259,88,8,,88
Marygrove College,MI,3,1,1,31196,31196,1774,0,359,147,94,21,91,95
Maryland Beauty Academy of Essex,MD,2,3,2,,,102,,,,,,,
Maryland Beauty Academy of Reisterstown,MD,2,3,2,,,26,,,,,,,
Maryland Institute College of Art,MD,2,1,1,57050,57050,2262,0,170,404,58,24,58,58
Maryland University of Integrative Health,MD,2,1,1,,,780,0,156,0,,,,
Marylhurst University,OR,8,1,1,,,1273,0,308,208,39,57,38,39
Marymount California University,CA,8,1,1,49844,49844,1108,0,0,74,,,,
Marymount Manhattan College,NY,2,1,1,50136,50136,1858,0,0,372,75,13,68,76
Marymount University,VA,5,1,1,44016,44016,3441,39,428,654,83,23,83,82
Maryville College,TN,5,1,1,45362,45362,1213,0,0,206,73,22,68,77
Maryville University of Saint Louis,MO,4,1,1,44532,44532,5931,111,362,642,76,34,82,74
Marywood University,PA,2,1,1,47895,47895,3056,23,362,479,71,28,66,73
Massachusetts Bay Community College,MA,1,2,1,,,5369,,,,,,,
Massachusetts College of Art and Design,MA,1,1,1,46425,27725,2095,0,50,347,70,37,61,73
Massachusetts College of Liberal Arts,MA,1,1,1,31034,22089,1765,0,38,362,67,28,64,69
Massachusetts General Hospital Dietetic Internship,MA,1,1,2,,,20,0,0,0,,,,
Massachusetts Institute of Technology,MA,1,1,1,61030,61030,11319,594,1730,1060,8,72,6,13
Massachusetts Maritime Academy,MA,1,1,1,37774,22720,1497,0,53,279,77,49,76,88
Massachusetts School of Barbering,MA,1,3,2,,,92,,,,,,,
Massachusetts School of Law,MA,1,1,1,,,408,139,0,0,,,,
Massachusetts School of Professional Psychology,MA,1,1,1,,,700,80,135,0,,,,
Massage Therapy Institute of Colorado,CO,7,3,2,,,61,,,,,,,
Massage Therapy Trainining Institute,NM,6,3,2,,,60,,,,,,,
Massasoit Community College,MA,1,2,1,,,7905,,,,,,,
Master Educators Beauty School,ID,7,2,2,,,30,,,,,,,
Masters of Cosmetology College,IN,3,2,2,,,93,,,,,,,
Mauna Loa Helicopters,HI,8,3,2,,,8,,,,,,,
Maximum Style Tec School of Cosmetology,UT,7,3,2,,,56,,,,,,,
Mayfield College,CA,8,2,1,,,509,,,,,,,
Mayland Community College,NC,5,2,1,,,973,,,,,,,
Mayo Graduate School,MN,4,1,1,,,291,29,38,0,,,,
Mayo Medical School,MN,4,1,1,,,228,46,0,0,,,,
Mayo School of Health Sciences,MN,4,1,1,,,475,28,24,0,,,,
Maysville Community and Technical College,KY,5,2,1,,,3478,,,,,,,
Mayville State University,ND,4,1,1,19446,17041,1081,0,0,134,,,,
McCann School of Business & Technology,PA,2,2,1,,,3346,,,,,,,
McCormick Theological Seminary,IL,3,1,1,,,181,12,38,0,,,,
McDaniel College,MD,2,1,1,50150,50150,3206,0,398,333,76,20,75,77
McDowell Technical Community College,NC,5,2,1,,,1056,,,,,,,
McHenry County College,IL,3,2,1,,,6567,,,,,,,
MCI Institute of Technology,FL,5,2,2,,,146,,,,,,,
MCI Institute of Technology-Boca Raton,FL,5,3,2,,,302,,,,,,,
McKendree University,IL,3,1,1,39370,39370,3131,0,277,503,63,38,59,68
McLennan Community College,TX,6,2,1,,,8294,,,,,,,
McMurry University,TX,6,1,1,37361,37361,1007,0,1,223,59,30,56,62
McNally Smith College of Music,MN,4,1,1,35570,35570,518,0,2,84,62,65,62,63
McNeese State University,LA,5,1,1,29748,18678,8237,0,272,1131,62,59,63,61
McPherson College,KS,4,1,1,37162,37162,659,0,0,137,87,31,87,86
MCPHS University,MA,1,1,1,48884,48884,6935,599,280,896,89,19,89,89
Meadville Lombard Theological School,IL,3,1,1,,,85,1,21,0,,,,
Med-Assist School of Hawaii Inc,HI,8,3,2,,,92,,,,82,58,50,83
Medaille College,NY,2,1,1,39068,39068,2479,0,370,293,54,54,54,54
MediaTech Institute-Austin,TX,6,3,2,,,72,,,,,,,
MediaTech Institute-Dallas,TX,6,3,2,,,191,,,,,,,
MediaTech Institute-Houston,TX,6,3,2,,,103,,,,,,,
MediaTech Institute-Oceanside,CA,8,3,2,,,65,,,,,,,
Medical Allied Career Center,CA,8,3,2,,,63,,,,,,,
Medical Career Institute,NJ,2,2,2,,,60,,,,,,,
Medical College of Wisconsin,WI,3,1,1,,,1209,239,44,0,,,,
Medical Institute of Palm Beach,FL,5,3,2,,,66,,,,,,,
Medical Professional Institute,MA,1,3,2,,,290,,,,91,60,75,94
